ID,IC,FII,body_part,dry_weight
80,NA,60,dryrest,10.03
80,0,60,drytotal,15.82
81,0,72,drythor,4.85
81,0,72,dryrest,6.03
81,0,72,drytotal,10.88
82,0,55,drythor,3.93
82,0,55,dryrest,5.92
82,0,55,drytotal,9.85
83,0,46,NA,5.69
83,0,46,dryrest,12.02
83,0,46,drytotal,17.71
84,0,70,drythor,5.78
84,0,70,dryrest,12.06
84,0,NA,NA,17.84
85,0,43,drythor,5.56
85,0,43,dryrest,11.41
85,0,43,drytotal,NA
86,NA,22,drythor,5.61
86,0,22,dryrest,10.78
86,0,22,drytotal,16.39
87,0,68,drythor,5.83
87,0,NA,dryrest,5.74
87,0,68,drytotal,11.57
88,0,21,drythor,5.68
88,0,21,dryrest,6.22
88,0,21,drytotal,11.9
90,0,28,drythor,5.21
90,0,28,dryrest,6.32
90,0,28,drytotal,11.53
91,NA,42,NA,5.62
91,0,42,dryrest,7.89
91,0,42,drytotal,13.51
92,0,54,drythor,4.75
92,0,54,dryrest,8.73
92,0,54,drytotal,13.48
93,0,46,drythor,5.47
93,0,46,dryrest,9.42
93,0,46,drytotal,14.89
94,0.375,59,drythor,6.01
94,0.375,59,dryrest,9.28
94,0.375,59,drytotal,NA
95,0,28,drythor,3.8
95,0,28,dryrest,4.76
95,0,28,drytotal,8.559999999999999
96,0,40,drythor,3.92
96,0,40,dryrest,5.03
96,0,40,drytotal,8.95
97,0.25,62,drythor,4.36
97,0.25,62,dryrest,4.82
97,0.25,62,drytotal,9.18
98,NA,43,drythor,5.69
98,0.25,43,dryrest,8.48
NA,0.25,43,drytotal,14.170000000000002
99,NA,57,drythor,5.13
99,0,57,dryrest,4.96
99,0,57,drytotal,10.09
102,0.25,59,drythor,5.4
102,0.25,59,dryrest,6.1
102,0.25,59,NA,11.5
103,0.25,60,drythor,5.59
NA,0.25,60,dryrest,6.53
103,0.25,60,drytotal,12.12
104,0.25,37,drythor,4.22
104,NA,37,dryrest,4.54
NA,0.25,NA,drytotal,NA
105,0.25,51,drythor,6.61
105,0.25,51,dryrest,7.75
105,0.25,51,drytotal,14.36
106,0.25,77,drythor,4.95
106,0.25,77,dryrest,5.34
106,0.25,77,drytotal,10.29
107,0.25,54,drythor,5.38
107,NA,54,dryrest,6.39
107,NA,54,drytotal,11.77
108,0.25,53,drythor,4.04
108,0.25,53,dryrest,3.85
108,0.25,53,drytotal,7.890000000000001
109,NA,45,drythor,NA
109,0.25,45,dryrest,6.68
109,0.25,45,drytotal,11.3
110,0.25,42,drythor,5.42
110,0.25,42,dryrest,6.88
110,0.25,42,drytotal,12.3
111,0,28,NA,NA
111,0,28,dryrest,8.01
111,0,28,drytotal,13.34
112,0,30,drythor,5.89
NA,0,30,dryrest,7.32
112,0,30,drytotal,13.21
113,0,37,drythor,5.3
113,0,NA,dryrest,11.99
113,0,37,drytotal,17.29
114,0,44,drythor,4.16
114,0,44,dryrest,6.81
114,0,44,drytotal,10.97
115,0,45,NA,5.38
115,0,45,dryrest,11.45
NA,0,45,drytotal,16.83
116,0,53,drythor,5.97
116,0,53,dryrest,8.67
116,0,53,drytotal,14.64
117,0,48,drythor,3.98
117,0,48,dryrest,5.12
117,0,48,drytotal,NA
118,0.25,32,drythor,5.07
118,0.25,32,dryrest,5.89
118,0.25,32,drytotal,10.96
119,0.25,27,drythor,4.28
119,0.25,27,NA,5.69
119,0.25,27,drytotal,9.97
121,0.25,84,drythor,4.76
121,NA,84,dryrest,6.85
121,0.25,84,drytotal,NA
122,0.25,80,drythor,4.97
122,0.25,80,dryrest,5.59
122,0.25,80,drytotal,10.56
123,0.25,34,drythor,4.81
123,0.25,34,dryrest,5.89
123,0.25,34,drytotal,10.7
124,0.25,27,drythor,4.7
124,NA,27,dryrest,7.18
124,0.25,27,drytotal,11.88
125,0.25,53,drythor,5.61
125,NA,53,dryrest,6.98
125,0.25,53,drytotal,12.59
126,0.25,68,drythor,4.89
126,0.25,NA,dryrest,6.86
126,NA,68,drytotal,11.75
127,0.25,67,drythor,4.21
127,0.25,67,dryrest,7.2
127,0.25,67,drytotal,11.41
128,NA,46,drythor,5.53
128,0.25,46,dryrest,10.85
NA,0.25,46,drytotal,16.38
129,0.375,53,drythor,5.34
